input_name,host,registrable_domain,classification,classification_reason,delegation_status,delegation_reason,host_resolution_status,host_resolution_reason,ip_location_status,ip_location_reason,ip_location_policy_status,ip_location_policy_reason,ip_location_provider,source_id,source_input_label,source_ids,source_input_labels
lemaker.com,lemaker.com,lemaker.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lemeitu.com,lemeitu.com,lemeitu.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lemiyigou.com,lemiyigou.com,lemiyigou.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lemonnovel.com,lemonnovel.com,lemonnovel.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lemote.com,lemote.com,lemote.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lempstack.com,lempstack.com,lempstack.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lenbpreturns.lenovo.com,lenbpreturns.lenovo.com,lenovo.com,manual_filtered_out,manual_filter_out entry was not present in any configured source,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out_not_in_sources,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out_not_in_sources""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt""]"
lengcat.com,lengcat.com,lengcat.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lengzzz.com,lengzzz.com,lengzzz.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
leniy.org,leniy.org,leniy.org,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lenovomobilesupport.lenovo.com,lenovomobilesupport.lenovo.com,lenovo.com,manual_filtered_out,manual_filter_out entry was not present in any configured source,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out_not_in_sources,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out_not_in_sources""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt""]"
